rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7272,0.7116,0.5714,1.0,6,4,False,True
2,frame_0291.jpg,116.4,0.6982,0.6319,0.7143,0.84,7,5,False,True
3,frame_0077.jpg,30.8,0.683,0.5855,0.7143,0.88,6,5,False,True
4,frame_0015.jpg,6.0,0.6598,0.6624,0.4286,1.0,4,3,False,True
5,frame_0124.jpg,49.6,0.6586,0.6166,0.7143,0.68,6,5,False,True
6,frame_0024.jpg,9.6,0.6561,0.8264,0.1429,1.0,1,1,False,True
7,frame_0074.jpg,29.6,0.6491,0.5554,0.5714,1.0,5,4,False,False
8,frame_0072.jpg,28.8,0.6488,0.5548,0.5714,1.0,7,4,False,False
9,frame_0285.jpg,114.0,0.6459,0.709,0.5714,0.6,4,4,False,True
10,frame_0012.jpg,4.8,0.634,0.6109,0.4286,1.0,3,3,False,False
11,frame_0008.jpg,3.2,0.6323,0.6075,0.4286,1.0,3,3,False,True
12,frame_0169.jpg,67.6,0.6288,0.6211,0.7143,0.52,6,5,False,True
13,frame_0122.jpg,48.8,0.6145,0.7319,0.4286,0.6,3,3,False,False
14,frame_0126.jpg,50.4,0.609,0.5711,0.5714,0.76,6,4,False,False
15,frame_0376.jpg,150.4,0.6077,0.8085,0.5714,0.16,6,4,False,True
16,frame_0069.jpg,27.6,0.6017,0.4605,0.5714,1.0,5,4,False,False
17,frame_0286.jpg,114.4,0.5971,0.5954,0.5714,0.64,5,4,False,False
18,frame_0292.jpg,116.8,0.5953,0.5278,0.5714,0.8,6,4,False,False
19,frame_0071.jpg,28.4,0.5884,0.5197,0.4286,1.0,5,3,False,False
20,frame_0123.jpg,49.2,0.5875,0.6618,0.4286,0.64,4,3,False,False
21,frame_0073.jpg,29.2,0.5873,0.6031,0.2857,1.0,5,2,False,False
22,frame_0003.jpg,1.2,0.5862,0.5153,0.4286,1.0,4,3,False,True
23,frame_0296.jpg,118.4,0.5835,0.4824,0.7143,0.64,5,5,False,True
24,frame_0005.jpg,2.0,0.5833,0.4238,0.5714,1.0,5,4,False,False
25,frame_0129.jpg,51.6,0.577,0.5448,0.4286,0.88,5,3,False,False
26,frame_0023.jpg,9.2,0.5737,0.6616,0.1429,1.0,1,1,False,False
27,frame_0029.jpg,11.6,0.5713,0.5712,0.2857,1.0,4,2,False,False
28,frame_0079.jpg,31.6,0.5713,0.4798,0.5714,0.8,7,4,False,False
29,frame_0329.jpg,131.6,0.5712,0.6819,0.7143,0.08,9,5,False,False
30,frame_0130.jpg,52.0,0.5635,0.5018,0.4286,0.92,4,3,False,False
31,frame_0367.jpg,146.8,0.5598,0.5733,0.8571,0.08,8,6,False,False
32,frame_0000.jpg,0.0,0.5586,0.46,0.4286,1.0,4,3,False,False
33,frame_0007.jpg,2.8,0.5586,0.5458,0.2857,1.0,4,2,False,False
34,frame_0377.jpg,150.8,0.557,0.5517,0.8571,0.12,9,6,False,False
35,frame_0375.jpg,150.0,0.5557,0.6886,0.5714,0.2,8,4,False,False
36,frame_0379.jpg,151.6,0.5544,0.4928,1.0,0.04,7,7,False,False
37,frame_0001.jpg,0.4,0.5541,0.5367,0.2857,1.0,4,2,False,False
38,frame_0127.jpg,50.8,0.5473,0.5174,0.4286,0.8,5,3,False,False
39,frame_0004.jpg,1.6,0.545,0.4328,0.4286,1.0,4,3,False,False
40,frame_0167.jpg,66.8,0.5448,0.5925,0.4286,0.6,6,3,False,False
41,frame_0295.jpg,118.0,0.5444,0.5596,0.4286,0.68,7,3,False,False
42,frame_0033.jpg,13.2,0.5391,0.4211,0.4286,1.0,5,3,False,False
43,frame_0284.jpg,113.6,0.538,0.5948,0.4286,0.56,5,3,False,False
44,frame_0384.jpg,153.6,0.5377,0.6686,0.5714,0.16,8,4,False,False
45,frame_0231.jpg,92.4,0.5357,0.4931,0.8571,0.16,6,6,False,False
46,frame_0327.jpg,130.8,0.5345,0.7102,0.5714,0.04,8,4,False,False
47,frame_0031.jpg,12.4,0.5257,0.3942,0.4286,1.0,6,3,False,False
48,frame_0318.jpg,127.2,0.5227,0.5209,0.7143,0.24,7,5,False,False
49,frame_0030.jpg,12.0,0.5217,0.3862,0.4286,1.0,6,3,False,False
50,frame_0014.jpg,5.6,0.5211,0.385,0.4286,1.0,4,3,False,False
51,frame_0128.jpg,51.2,0.5209,0.4487,0.4286,0.84,6,3,False,False
52,frame_0209.jpg,83.6,0.516,0.5725,0.2857,0.72,3,2,False,False
53,frame_0173.jpg,69.2,0.5152,0.5436,0.5714,0.36,6,4,False,False
54,frame_0328.jpg,131.2,0.5151,0.5696,0.7143,0.08,9,5,False,False
55,frame_0297.jpg,118.8,0.5146,0.532,0.4286,0.6,4,3,False,False
56,frame_0374.jpg,149.6,0.514,0.6908,0.4286,0.2,9,3,False,False
57,frame_0170.jpg,68.0,0.513,0.4911,0.5714,0.48,6,4,False,False
58,frame_0013.jpg,5.2,0.5126,0.4538,0.2857,1.0,3,2,False,False
59,frame_0301.jpg,120.4,0.5111,0.5034,0.5714,0.44,6,4,False,False
60,frame_0168.jpg,67.2,0.5109,0.5406,0.4286,0.56,6,3,False,False
61,frame_0002.jpg,0.8,0.5089,0.3607,0.4286,1.0,6,3,False,False
62,frame_0114.jpg,45.6,0.5077,0.5605,0.5714,0.28,6,4,False,False
63,frame_0133.jpg,53.2,0.5066,0.356,0.4286,1.0,5,3,False,False
64,frame_0183.jpg,73.2,0.5049,0.651,0.5714,0.04,4,4,False,False
65,frame_0067.jpg,26.8,0.5034,0.3496,0.4286,1.0,7,3,False,False
66,frame_0289.jpg,115.6,0.5019,0.5284,0.2857,0.76,4,2,False,False
67,frame_0293.jpg,117.2,0.5015,0.4419,0.4286,0.76,4,3,False,False
68,frame_0281.jpg,112.4,0.5012,0.5692,0.4286,0.44,4,3,False,False
69,frame_0276.jpg,110.4,0.499,0.5592,0.5714,0.24,7,4,False,False
70,frame_0332.jpg,132.8,0.4943,0.6298,0.5714,0.04,7,4,False,False
71,frame_0294.jpg,117.6,0.4904,0.5214,0.2857,0.72,5,2,False,False
72,frame_0201.jpg,80.4,0.4902,0.5849,0.2857,0.56,3,2,False,False
73,frame_0368.jpg,147.2,0.4856,0.5266,0.7143,0.04,9,5,False,False
74,frame_0125.jpg,50.0,0.4855,0.5973,0.1429,0.72,3,1,False,False
75,frame_0275.jpg,110.0,0.4851,0.4617,0.7143,0.2,5,5,False,False
76,frame_0120.jpg,48.0,0.4834,0.5017,0.4286,0.52,4,3,False,False
77,frame_0230.jpg,92.0,0.4832,0.6612,0.4286,0.12,5,3,False,False
78,frame_0290.jpg,116.0,0.4825,0.4736,0.2857,0.8,5,2,False,False
79,frame_0025.jpg,10.0,0.4796,0.4734,0.1429,1.0,1,1,False,False
80,frame_0087.jpg,34.8,0.4777,0.5062,0.4286,0.48,4,3,False,False
81,frame_0018.jpg,7.2,0.4769,0.3823,0.2857,1.0,5,2,False,False
82,frame_0017.jpg,6.8,0.475,0.3785,0.2857,1.0,4,2,False,False
83,frame_0075.jpg,30.0,0.4742,0.3929,0.2857,0.96,4,2,False,False
